id,latitude,longitude,resolution
106,42.3603069622795,-71.77590630330752,2048
107,38.93166777969477,-77.30377796497673,2048
109,38.95294659254056,-77.34565504222344,2048
111,30.05815562121933,-81.5289461811955,2048
112,30.07407334519212,-81.60156471412586,2048
110,28.857766017825345,-81.80010646338678,2048
113,35.931094086352914,-85.48986674252421,2048
115,46.75110465449242,-92.1995518515841,2048
117,35.69206261335258,-91.44335092350352,2048
118,42.90993350571895,-86.20015128498352,2048
121,41.51654307274401,-90.42065183072614,2048
122,41.53500035788949,-90.39409701966854,2048
120,42.915171491696974,-86.19088051236372,2048
123,34.25077349776256,-77.88647710394842,2048
119,42.910533966554176,-86.19632455617823,2048
125,35.140326993851886,-78.91188960512976,2048
116,35.67998125596047,-91.41263059843256,2048
114,36.02884693594012,-85.53795733966919,2048
124,35.7992459722233,-78.8057836121365,2048
126,33.6974158870975,-86.90012946932825,2048
127,38.86538451755417,-92.25576121155216,2048
129,37.42013807495133,-76.91195250883233,2048
134,37.66865232669839,-85.90239844304777,2048
128,38.86910387549357,-92.37295845911396,2048
135,37.60488409336696,-85.24994643046374,2048
138,37.79399242171936,-84.720749596074,2048
133,41.29145802921849,-79.8082172026597,2048
130,37.49002253706063,-76.86230347173064,2048
131,32.22915971361624,-86.260616940089,2048
137,37.79344764765651,-84.71664096339319,2048
132,32.32564100964443,-86.29267470536128,2048
136,37.60511979386179,-85.24822293028448,2048
140,34.44985258640012,-88.10087140646792,2048
139,34.32523815321025,-88.17949799766805,2048
141,40.53078882750376,-74.34719149513862,2048
143,40.54858776585221,-74.32359399058875,2048
144,40.45576670075995,-78.03609620005383,2048
142,40.53129029463062,-74.34687598480045,2048
145,40.5803125505391,-77.59022637390605,2048
146,35.20267981872079,-85.22176495960016,2048
150,38.69498396991277,-77.26074023245138,2048
148,37.09138233245214,-76.38873817768032,2048
147,35.05601995058283,-77.20902010056304,2048
149,37.12661166669482,-76.44037531337534,2048
157,30.19791893516423,-90.99159290226136,2048
151,38.713128193279445,-77.26912412358816,2048
152,41.222799050000575,-86.62164145000295,2048
154,41.70670536247449,-86.48371887224144,2048
156,30.197349762945382,-90.99213406762148,2048
155,30.186739094249063,-90.98589390475364,2048
153,40.77125133864683,-86.86733450259656,2048
159,42.01016342218357,-71.67370194621155,2048
158,34.70884537075513,-84.92278016180516,2048
160,42.00950334261839,-71.66952895689907,2048
161,35.96263323419376,-83.53973606236985,2048
162,35.25158166708967,-84.90818369599397,2048
163,33.932563125808926,-84.61064357286745,2048
164,37.05799045321587,-76.40098019220765,2048
166,44.18881185049243,-69.99282475033299,2048
165,44.14098754380407,-70.18605900924447,2048
168,44.25286380425951,-69.77502953991647,2048
167,44.254406116257385,-69.80344816257312,2048
172,35.76961839991463,-91.17531784999744,2048
169,44.29691452741033,-69.55656391054126,2048
170,38.00745484251508,-78.02686845822079,2048
171,38.0097051179195,-78.02847029440395,2048
173,36.016785750305495,-91.01922375001556,2048
175,30.327819185792457,-91.26560944735536,2048
174,30.325469989283608,-91.26389491236446,2048
179,36.45303615213225,-93.1715606317862,2048
178,36.22124484287156,-93.0725184553106,2048
182,41.19136367061755,-103.0487719690351,2048
176,39.03427990014909,-94.22782293544458,2048
177,39.176840811447214,-94.18468321135184,2048
183,35.71323210006916,-84.01996204828679,2048
184,35.77428837265596,-83.97570137640963,2048
181,41.16265925505076,-102.99208033031144,2048
180,41.16168667900024,-102.99120094264904,2048
186,35.23822340682608,-94.39421530827823,2048
185,35.61926065061338,-84.78565833437445,2048
187,35.42213914367344,-94.31999672554784,2048
190,38.950187160217006,-77.19947142503543,2048
188,35.87441820027059,-92.12715765000011,2048
189,35.928118694130184,-91.93384542462933,2048
195,41.36114223480303,-81.57144277938579,2048
192,34.47810293820211,-85.68865473194111,2048
194,41.30344465272984,-81.47421978204298,2048
193,34.52298462406532,-85.77824148461075,2048
191,38.95054605638605,-77.14785654033653,2048
196,35.908084348868734,-89.91092280816275,2048
198,32.882530203373,-83.3169168723771,2048
199,33.129073401508656,-83.3160110497233,2048
197,35.91436260002433,-89.78530794999516,2048
202,27.908376516532027,-82.40878327080004,2048
201,43.63184132270249,-94.98382335361224,2048
200,33.19579589736726,-83.29793513024437,2048
206,35.950604831294754,-78.74979087129624,2048
203,27.96353579229744,-82.4273291594376,2048
205,34.612371856788734,-84.67380190761926,2048
208,28.04365992427518,-80.70674166622007,2048
204,36.018862460995905,-84.15794542019387,2048
207,28.04313751483565,-80.70785022682809,2048
213,35.74936955672469,-84.22780252798913,2048
212,32.28073052305636,-90.1878148685057,2048
209,28.1284380341076,-80.70354863086219,2048
215,26.229191828701,-80.26432691830075,2048
210,28.128981014669872,-80.70449322649615,2048
211,32.26160837989301,-90.16419785936048,2048
216,26.228932747468036,-80.23927921912556,2048
217,26.259242672705376,-80.21728562039941,2048
219,26.19620206007996,-80.29677896734107,2048
220,30.618671650371187,-85.87710074984939,2048
222,30.756728856846884,-86.27610106579839,2048
221,30.71432524367826,-86.55897766363866,2048
218,26.27904583629548,-80.1961027689977,2048
214,35.79282308413746,-84.2446437763321,2048
223,40.351100841096105,-76.36699595508391,2048
225,41.52288828704483,-86.36090594178718,2048
227,41.97484276710272,-86.5553220074026,2048
226,41.97212007611012,-86.55462945135503,2048
228,35.068082022917324,-92.4287546972874,2048
224,40.37574822850268,-76.43576342150507,2048
229,35.071587075351246,-92.41308715818452,2048
236,38.89491305708386,-77.56822564066546,2048
235,34.085281852942884,-84.51345332201659,2048
231,41.63027781646941,-88.09526485572783,2048
232,41.62485225131277,-87.93263066866783,2048
233,33.51956901645475,-88.35413723216098,2048
230,34.8287922648538,-89.20041120581313,2048
